sample_id,group
AB061527,Su
KF696672,Scy
KT023074,Scy
KT210896,Sar
KY676802,Sca_China
KY676803,Sexc
KY814925,Sca_China
KY930906,Srob
MF374796,Sca_China
MF426913,Sgra
MG983792,Siso
MH823669,Smin_China
MK110676,Sdap
MK641805,Smin_China
MZ043819,Stibe
NC_024563,Asqua
NC_052688,So_nig
Rod23_004_long_LR_Sg,Sg
Rod23_005_long_LR_Sg,Sg
Rod23_006_long_LR_Sc,Sc
Rod23_007_long_LR_Sg,Sg
Rod23_008_long_LR_Sc,Sc
Rod23_011_long_LR_Sg,Sg
Rod23_012_long_LR_Sc,Sc
Rod23_013_long_LR_Sg,Sg
Rod23_014_long_LR_Sg,Sg
Rod23_016_long_LR_Sc,Sc
Rod23_035_long_LR_Su,Su
Rod23_036_long_LR_Sg,Sg
Rod23_039_long_LR_Su,Su
Rod23_040_long_LR_Su,Su
Rod23_041_long_LR_Sg,Sg
Rod23_042_long_LR_Sg,Sg
Rod23_060_long_LR_Sg,Sg
Rod23_062_long_LR_Sg,Sg
Rod23_063_long_LR_Su,Su
Rod23_064_long_LR_Sg,Sg
Rod23_065_long_LR_Sg,Sg
Rod23_066_long_LR_Sg,Sg
Rod23_067_long_LR_Sg,Sg
Rod23_068_long_LR_Su,Su
Rod23_071_long_LR_Su,Su
Rod23_072_long_LR_Su,Su
Rod23_083_long_LR_Su,Su
Rod23_114_long_LR_Su,Su
Rod23_115_long_LR_Sc,Sc
Rod23_169_long_LR_Su,Su
Rod23_170_long_LR_Sc,Sc
Rod23_171_long_LR_Sc,Sc
Rod23_172_long_LR_Sc,Sc
Rod23_190_long_LR_Sc,Sc
Rod23_193_long_LR_Smh,Smh
